City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
333,Santa Rosalia,27.32,-112.28,87.49,67,0,9.46,MX,clear sky
334,Samarai,-10.62,150.67,78.73,90,84,12.55,PG,light rain
335,Oyugis,-0.51,34.74,73.4,60,40,10.29,KE,scattered clouds
336,Port Macquarie,-31.43,152.92,39.99,97,33,5.5,AU,scattered clouds
337,Challapata,-18.9,-66.77,60.26,25,0,4.32,BO,clear sky
338,Jadu,31.95,12.03,73.04,61,0,16.04,LY,clear sky
339,Champasak,14.75,106.0,75.13,98,100,1.5,LA,light rain
340,Victoria,22.29,114.16,84.0,83,99,11.01,HK,light rain
341,Sola,-13.88,167.55,76.42,81,38,22.97,VU,scattered clouds
342,Chiredzi,-21.05,31.67,71.22,35,0,5.86,ZW,clear sky
343,Santa Cruz,-17.8,-63.17,89.6,45,20,13.87,BO,few clouds
344,Uchiza,-8.46,-76.46,87.69,39,27,2.8,PE,scattered clouds
345,Tiksi,71.69,128.87,52.61,85,98,6.33,RU,overcast clouds
346,Katsuura,35.13,140.3,80.01,85,8,14.2,JP,clear sky
347,Hirara,24.8,125.28,83.95,82,26,10.47,JP,scattered clouds
348,Torbay,47.67,-52.73,82.0,65,20,23.04,CA,few clouds
349,Soldatskaya,43.82,43.82,78.01,47,40,4.47,RU,scattered clouds
350,Brae,60.4,-1.35,60.8,87,20,11.41,GB,few clouds
351,Kodiak,57.79,-152.41,57.2,82,75,8.05,US,broken clouds
352,Oistins,13.07,-59.53,86.0,70,40,19.46,BB,scattered clouds
353,Khandyga,62.67,135.6,52.47,56,0,1.23,RU,clear sky
354,Adre,13.47,22.2,71.11,86,98,8.19,TD,overcast clouds
355,Bandarbeyla,9.49,50.81,77.86,77,98,33.82,SO,overcast clouds
356,Porto Novo,6.5,2.6,77.0,78,40,14.99,BJ,scattered clouds
357,Campo Grande,-20.44,-54.65,84.2,25,0,11.41,BR,clear sky
358,Atambua,-9.11,124.89,67.01,89,21,4.59,ID,few clouds
